County,Cases1,Deaths2,Negatives3,Scraped.date,date
Baker,1,0,287,2020-06-06,2020-06-06
Benton,62,5,4067,2020-06-06,2020-06-06
Clackamas,346,12,13317,2020-06-06,2020-06-06
Clatsop,45,0,1703,2020-06-06,2020-06-06
Columbia,16,0,1722,2020-06-06,2020-06-06
Coos,32,0,1705,2020-06-06,2020-06-06
Crook,6,0,661,2020-06-06,2020-06-06
Curry,7,0,407,2020-06-06,2020-06-06
Deschutes,133,0,6337,2020-06-06,2020-06-06
Douglas,29,0,3170,2020-06-06,2020-06-06
Gilliam,0,0,65,2020-06-06,2020-06-06
Grant,1,0,111,2020-06-06,2020-06-06
Harney,1,0,250,2020-06-06,2020-06-06
Hood River,44,0,1416,2020-06-06,2020-06-06
Jackson,71,0,7715,2020-06-06,2020-06-06
Jefferson,57,0,1129,2020-06-06,2020-06-06
Josephine,23,1,2607,2020-06-06,2020-06-06
Klamath,45,0,3742,2020-06-06,2020-06-06
Lake,2,0,164,2020-06-06,2020-06-06
Lane,80,3,13112,2020-06-06,2020-06-06
Lincoln,33,0,1737,2020-06-06,2020-06-06
Linn,124,9,4581,2020-06-06,2020-06-06
Malheur,34,0,794,2020-06-06,2020-06-06
Marion,1039,27,10861,2020-06-06,2020-06-06
Morrow,13,0,202,2020-06-06,2020-06-06
Multnomah,1264,65,29801,2020-06-06,2020-06-06
Polk,103,12,2071,2020-06-06,2020-06-06
Sherman,1,0,111,2020-06-06,2020-06-06
Tillamook,6,0,807,2020-06-06,2020-06-06
Umatilla,131,3,1899,2020-06-06,2020-06-06
Union,6,0,510,2020-06-06,2020-06-06
Wallowa,3,0,166,2020-06-06,2020-06-06
Wasco,33,1,1478,2020-06-06,2020-06-06
Washington,790,18,19396,2020-06-06,2020-06-06
Wheeler,0,0,100,2020-06-06,2020-06-06
Yamhill,81,7,3296,2020-06-06,2020-06-06
Total,4662,163,141497,2020-06-06,2020-06-06
Baker,1,0,290,2020-06-07,2020-06-07
Benton,62,5,4077,2020-06-07,2020-06-07
Clackamas,364,12,13507,2020-06-07,2020-06-07
Clatsop,45,0,1726,2020-06-07,2020-06-07
Columbia,16,0,1737,2020-06-07,2020-06-07
Coos,32,0,1710,2020-06-07,2020-06-07
Crook,6,0,673,2020-06-07,2020-06-07
Curry,7,0,408,2020-06-07,2020-06-07
Deschutes,135,0,6420,2020-06-07,2020-06-07
Douglas,29,0,3193,2020-06-07,2020-06-07
Gilliam,0,0,68,2020-06-07,2020-06-07
Grant,1,0,112,2020-06-07,2020-06-07
Harney,1,0,252,2020-06-07,2020-06-07
Hood River,56,0,1464,2020-06-07,2020-06-07
Jackson,71,0,7807,2020-06-07,2020-06-07
Jefferson,57,0,1142,2020-06-07,2020-06-07
Josephine,23,1,2644,2020-06-07,2020-06-07
Klamath,45,0,3786,2020-06-07,2020-06-07
Lake,2,0,168,2020-06-07,2020-06-07
Lane,80,3,13343,2020-06-07,2020-06-07
Lincoln,94,0,1994,2020-06-07,2020-06-07
Linn,125,9,4600,2020-06-07,2020-06-07
Malheur,34,1,804,2020-06-07,2020-06-07
Marion,1050,27,10983,2020-06-07,2020-06-07
Morrow,13,0,211,2020-06-07,2020-06-07
Multnomah,1286,65,30218,2020-06-07,2020-06-07
Polk,103,12,2087,2020-06-07,2020-06-07
Sherman,1,0,113,2020-06-07,2020-06-07
Tillamook,6,0,816,2020-06-07,2020-06-07
Umatilla,136,3,1926,2020-06-07,2020-06-07
Union,6,0,515,2020-06-07,2020-06-07
Wallowa,3,0,169,2020-06-07,2020-06-07
Wasco,35,1,1551,2020-06-07,2020-06-07
Washington,798,18,19614,2020-06-07,2020-06-07
Wheeler,0,0,101,2020-06-07,2020-06-07
Yamhill,85,7,3363,2020-06-07,2020-06-07
Total,4808,164,143592,2020-06-07,2020-06-07
